regime,n,edge_win_pct,saddle_win_pct,edge_rmse,saddle_rmse,dm_stat,neg_density_pct
Mild,162,2.4691358024691357,97.53086419753086,0.015158646794548728,0.006612013746713485,8.612802040773541,50.0
Moderate,162,13.580246913580247,86.41975308641975,0.0521704315632552,0.030719626996798928,9.75055243899499,100.0
Severe,162,70.98765432098766,29.012345679012345,0.05807288351290997,0.06569315399565165,-1.9342889050946732,100.0
Extreme,162,93.20987654320987,6.790123456790123,0.038590541600757984,0.09961261108735861,-17.706203131056892,100.0
Overall,648,45.06172839506173,54.93827160493827,0.044196233444384204,0.0616961850079625,-7.919466931944165,87.5
