distribution,n,outside_envelope_pct,edge_es_inside_pct,sad_es_inside_pct,edge_es_outside_pct,sad_es_outside_pct
Rare-disaster,648,87.5,6.200327257556899,7.088957990346243,47.038548294358904,13.642561662053348
Hansen skewed-t,42,64.28571428571429,2.8473768631915943,1.5690604217064084,146.48541236973819,16.512425024446618
GED,8,25.0,7.802251909745054,0.9112387030335987,633.7195028262178,3.055308054780019
Two-sided jump,81,77.77777777777777,4.816277474590975,3.955842070145312,247.29837526507532,14.750638571821678
Generalised Hyperbolic,75,13.333333333333334,3.136794303560727,2.388470985042267,26.258929024623303,10.157694035659555
