pi,delta,gamma1,abs_gamma1,gamma2,regime,neg_density,p_true_-2.0,p_edge_-2.0,p_sad_-2.0,err_edge_-2.0,err_sad_-2.0,sq_err_edge_-2.0,sq_err_sad_-2.0,p_true_-2.33,p_edge_-2.33,p_sad_-2.33,err_edge_-2.33,err_sad_-2.33,sq_err_edge_-2.33,sq_err_sad_-2.33,p_true_-3.0,p_edge_-3.0,p_sad_-3.0,err_edge_-3.0,err_sad_-3.0,sq_err_edge_-3.0,sq_err_sad_-3.0,p_true_-3.5,p_edge_-3.5,p_sad_-3.5,err_edge_-3.5,err_sad_-3.5,sq_err_edge_-3.5,sq_err_sad_-3.5,es_true,es_edge,es_sad,es_relerr_edge,es_relerr_sad,loss_diff,g1_star_theoretical,predicted_inside,empirical_inside
0.005,5.571428571428571,-0.6867167941338678,0.6867167941338678,3.4895103558101206,Mild,True,0.02763549368998643,0.05404372783714622,0.05757717670352123,0.02640823414715979,0.0299416830135348,0.0006973948307712164,0.0008965043816829983,0.014850586875498058,0.046953992249258183,0.03836421295705593,0.03210340537376012,0.02351362608155787,0.0010306286365919703,0.0005528906115033186,0.006317828565098466,0.025258341569253245,0.016022655876362063,0.01894051300415478,0.009704827311263597,0.0003587430328605563,9.418367314144783e-05,0.005135669025766814,0.01137084702650853,0.008021760720673439,0.006235178000741716,0.0028860916949066248,3.887744470093346e-05,8.329525271408994e-06,-4.231088846404756,-3.9913863375792142,-4.020766511111299,5.665267677591355,4.9708796701863625,0.0002645593597191085,0.6087635830044746,False,False
0.005,5.828571428571428,-0.7715893783076379,0.7715893783076379,4.076078952236185,Mild,True,0.02763605906537446,0.056153820233950845,0.06072927149916859,0.028517761168576385,0.03309321243379413,0.0008132627020679632,0.0010951607091882263,0.014852390786917928,0.051244689130580445,0.04114122058417702,0.03639229834366252,0.026288829797259092,0.0013243993787341417,0.0006911025721092575,0.006331459474999204,0.02941098429986092,0.017843592619907363,0.023079524824861714,0.01151213314490816,0.0005326644661414081,0.00013252920954609303,0.00518176148079776,0.013727153804384884,0.009218247486280043,0.008545392323587125,0.004036486005482283,7.302372996402176e-05,1.6293219272454314e-05,-4.359543099142754,-4.084445818433199,-4.143854186369238,6.310231931498718,4.947511880681438,0.00040013525659531507,,False,False
0.005,6.085714285714285,-0.8613820846307645,0.8613820846307645,4.72050773255659,Mild,True,0.027636271434877364,0.057941089842945846,0.06391134138074495,0.030304818408068483,0.036275069945867586,0.0009183820187460064,0.0013158806995775857,0.014853128061880237,0.055585610284381706,0.04397079647439934,0.04073248222250147,0.0291176684125191,0.0016591351080063983,0.0008478386137814127,0.006338071945359442,0.034008075813776344,0.019749741145823334,0.027670003868416903,0.013411669200463893,0.0007656291140782064,0.0001798728707426718,0.00520717157197186,0.0164500409571333,0.010502796384278076,0.01124286938516144,0.005295624812306217,0.00012640211201180038,2.8043642152713252e-05,-4.4880668922945555,-4.175675154209091,-4.269153191705179,6.960496480607315,4.877683551580383,0.0005857562433355347,,False,False
0.005,6.3428571428571425,-0.9559340623867151,0.9559340623867151,5.423731511853801,Mild,True,0.027636346128040265,0.059316657260160666,0.067112795272401,0.0316803111321204,0.03947644914436073,0.0010036421134279518,0.0015583900370472988,0.014853410210817533,0.05990275258178137,0.046842857641351154,0.045049342370963835,0.03198944743053362,0.0020294432480563174,0.001023324746910874,0.0063410755270736745,0.03905254016310587,0.0217338911643603,0.032711464636032195,0.015392815637286627,0.001070039918634385,0.0002369387732434957,0.005220288157100915,0.019572067121117597,0.011871602644623107,0.014351778964016682,0.006651314487522192,0.00020597355943199173,4.42399844119226e-05,-4.61662012280311,-4.265266546852046,-4.396433464415823,7.6106234995512265,4.769434186272065,0.0008331011453908893,,False,False
0.005,6.6,-1.055064315832383,1.055064315832383,6.186326629379739,Mild,True,0.027636370726164785,0.06018964056590191,0.07032428594981553,0.03255326983973712,0.042687915223650744,0.0010597153772587387,0.001822258106141593,0.01485351131312656,0.06411397397498476,0.04974815650346431,0.049260462661858205,0.03489464519033775,0.0024265931816603264,0.0012176362629595613,0.0063423529985211545,0.04453968394097147,0.02378883177258308,0.038197330942450314,0.017446478774061927,0.0014590360911270722,0.00030437962161379334,0.005226627917574256,0.023124462009633237,0.013320392462490902,0.01789783409205898,0.008093764544916646,0.0003203324651868687,6.550902450854977e-05,-4.745185019678176,-4.353407568487327,-4.525494079855174,8.256315603420228,4.629765518350669,0.001154656469513279,,False,False
0.005,6.857142857142857,-1.158574374916808,1.158574374916808,7.008517440072053,Mild,True,0.027636378311146424,0.06046884090944468,0.07353760322350947,0.03283246259829826,0.045901224912363044,0.001077970600268654,0.0021069224484553378,0.014853545234737206,0.06812999168641116,0.05267826355937424,0.05327644645167396,0.03782471832463703,0.002838379746518083,0.0014307093163381326,0.006342861741169326,0.05045636815440902,0.025907458714800935,0.044113506413239696,0.01956459697363161,0.0019460014480709399,0.0003827734547406351,0.005229497123356957,0.02713626148813229,0.014844551051626593,0.021906764364775334,0.009615053928269637,0.00047990632493379043,9.244926204353337e-05,-4.8737542462272385,-4.440273239416255,-4.656159114453533,8.894190903173666,4.46463077087126,0.0015632279933303047,,False,False
0.005,7.114285714285714,-1.2662509310890722,1.2662509310890722,7.890187137208771,Moderate,True,0.02763638050111237,0.060064487675308885,0.07674556942132675,0.032428107174196516,0.04910918892021438,0.0010515821349011756,0.002411712436401307,0.014853555891457124,0.07185559200137569,0.055625537677463685,0.057002036109918566,0.040771981786006564,0.00324923212067646,0.001662354498758451,0.00634305144643441,0.056780298499169955,0.028082858446839973,0.05043724705273554,0.021739807000405564,0.00254391589025868,0.00047261920841488276,0.00523071299166005,0.03163337981871527,0.0164392359480508,0.02640266682705522,0.01120852295639075,0.0006971008155804822,0.00012563098686393844,-5.002324977690396,-4.526022975358824,-4.7882741143597185,9.52161253928535,4.279027537901107,0.0020712966818437974,,False,False
0.005,7.371428571428571,-1.3778684061347273,1.3778684061347273,8.830892328869995,Moderate,True,0.027636381093150024,0.058889996764724784,0.07994193937312874,0.03125361567157476,0.052305558279978716,0.0009767884925465035,0.00273587142698025,0.014853559026195104,0.07519102541951252,0.05858308781045199,0.06033746639331741,0.043729528784256885,0.003640609850764708,0.0019122716876931514,0.006343117682413729,0.06347946335509383,0.030308371802740774,0.0571363456726801,0.023965254120327045,0.0032645619968279895,0.0005743334050518524,0.005231195435228931,0.036637639160569405,0.018099474997072117,0.031406443725340474,0.012868279561843186,0.000986364707472978,0.00016559261888175107,-5.130896199078338,-4.6108000959442395,-4.921703092109678,10.136554764594985,4.077126078018047,0.002690228591776137,,False,False
0.005,7.628571428571428,-1.4931914266265518,1.4931914266265518,9.829880776707187,Moderate,True,0.027636381243011234,0.056863695718253046,0.08312130623088547,0.029227314475241812,0.05548492498787423,0.0008542359114346795,0.00307857690091003,0.014853559889587878,0.07803355481470063,0.06154472919226225,0.06317999492511275,0.04669116930267437,0.003991711758737273,0.0021800652908510014,0.006343139336550259,0.0705117456182577,0.032577640163958636,0.06416860628170744,0.02623450082740838,0.0041176100321367835,0.000688249033663291,0.005231374677628174,0.042165779824560136,0.01982024932786522,0.03693440514693196,0.014588874650237046,0.0013641502835577144,0.0002128352635603291,-5.259467569855027,-30.444985307011297,-5.056325975867021,478.86059572852326,3.862398451743003,0.0034293609984734925,,False,False
0.005,7.885714285714285,-1.611977181222932,1.611977181222932,10.886111707684428,Moderate,True,0.027636381278529836,0.05391047125352761,0.08627901385321247,0.026274089974997774,0.058642632574682635,0.0006903278040142786,0.003438958355289229,0.014853560112248726,0.08027911935640986,0.06450493641903508,0.06542555924416113,0.04965137630678636,0.004280503802411238,0.0024652591691581055,0.006343145965108123,0.07782473012575543,0.034884636935823006,0.0714815841606473,0.028541490970714883,0.005109616874115703,0.0008146167068313992,0.0052314370321940775,0.04822847750607098,0.021596562191260677,0.0429970404738769,0.0163651251590666,0.0018487454895122085,0.0002678173214719147,-5.388038983297373,-34.16825326222301,-5.192036443257653,534.150075159863,3.6377342600400198,0.004295000167284305,,False,False
