nu,distribution,gamma1,abs_gamma1,gamma2,neg_density,envelope,p_true_-2.0,err_edge_-2.0,err_sad_-2.0,p_true_-2.33,err_edge_-2.33,err_sad_-2.33,p_true_-3.0,err_edge_-3.0,err_sad_-3.0,p_true_-3.5,err_edge_-3.5,err_sad_-3.5,es_relerr_edge,es_relerr_sad
0.5,GED,0.0,0.0,22.199999999999996,True,outside,0.026337320943573817,0.09629609905400324,0.037995137599336704,0.019354026119240513,0.12888870755794413,0.027410140956380388,0.010901726527306761,0.06423844756309113,0.013036892707853635,0.007356595130356386,0.019010153531877624,0.006890084979123258,1264.7455658123129,3.4265481333436507
0.8,GED,0.0,0.0,5.565144420868675,True,outside,0.029662124435796727,0.018126968018063804,0.013585294535789879,0.019841339262546987,0.02474102352906687,0.00796264002726,0.009009207195715697,0.010838598183788772,0.00182014842640843,0.005095677423690662,0.0016883097541174697,6.193923598358554e-05,2.6934398401225854,2.6840679762163875
1.0,GED,0.0,0.0,3.000000000000001,False,inside,0.029552873280978123,0.006695000295498098,0.007026814831406512,0.018531843044603747,0.010065780908887597,0.0035420132655741947,0.0071847980452195434,0.004136758913271068,0.0002506957226073841,0.0035425989700954776,0.0002216678904533578,0.0004057317359025389,0.11011793772425232,2.229069375723116
1.2,GED,0.0,0.0,1.743484224965706,False,inside,0.028645328195082215,0.001949170286963245,0.003419148933855389,0.01680075201810572,0.003966873613847614,0.0014618638177044743,0.005483696467416817,0.0016613449094531997,0.00011474722956898286,0.002311969053516898,2.6888387694260028e-05,0.0002951155199349769,1.3722801192442027,1.2850934674889227
1.5,GED,0.0,0.0,0.7619542369302295,False,inside,0.026611826455812077,0.0004334740334093791,0.0007160027586864265,0.01404472237762871,0.0006064833003871228,0.0002355897828843264,0.0034325672734054576,0.0004499800144061408,3.735494242522062e-05,0.001095241068802379,3.437013387546013e-05,3.790379475497488e-05,1.2019944502209288,0.13079196889714595
2.0,GED,0.0,0.0,-4.440892098500626e-16,False,inside,0.02275013194817927,6.591949208711867e-17,6.591949208711867e-17,0.00990307555916424,6.938893903907228e-18,8.673617379884035e-18,0.0013498980316300954,1.734723475976807e-18,1.951563910473908e-18,0.00023262907903552515,6.2341624917916505e-19,6.2341624917916505e-19,7.689707220578053e-11,2.521024274048666e-11
3.0,GED,0.0,0.0,-0.5816008476877093,True,inside,0.015866255090606712,0.00426711086661009,,0.0043407761406139625,0.001938044354123777,,0.0001073604967081041,0.0001073604967081041,,2.1768977441608267e-06,2.1768977441608267e-06,,10.696394070514579,
5.0,GED,0.0,0.0,-0.9299016747037148,True,inside,0.007231295367021759,0.011334979066200308,,0.0004921658164306478,0.0036162124561621373,,5.7533868594053334e-09,5.7533868594053334e-09,,1.4389689813914334e-16,1.4389689813914334e-16,,33.43272488068946,
