eta,lam,distribution,gamma1,abs_gamma1,gamma2,neg_density,envelope,p_true_-2.0,err_edge_-2.0,err_sad_-2.0,p_true_-2.33,err_edge_-2.33,err_sad_-2.33,p_true_-3.0,err_edge_-3.0,err_sad_-3.0,p_true_-3.5,err_edge_-3.5,err_sad_-3.5,es_relerr_edge,es_relerr_sad
5,-0.5,Hansen skewed-t,-1.8404291805017727,1.8404291805017727,12.650189652738073,True,outside,0.03959781896249095,0.04403264394326006,0.028126128304607388,0.027241942025714148,0.06895773761643104,0.021467723933788426,0.01335220692052058,0.04467368742253668,0.010883100373002023,0.008173001858803453,0.016078903507640026,0.005871573549915965,651.023582914135,2.7113991401581234
5,-0.3,Hansen skewed-t,-1.2334822953254498,1.2334822953254498,8.883107914430282,True,outside,0.03551699499598029,0.039962361428306635,0.02422594075079431,0.023627056405480906,0.05292024601796434,0.01792268098631907,0.010908755369568679,0.028942132774637204,0.008285877879124397,0.0064337083989543156,0.009021715532467148,0.004040697271979669,483.96320879349344,2.9399491044120167
5,-0.1,Hansen skewed-t,-0.43749427878046876,0.43749427878046876,6.355187362558826,True,outside,0.02890446039519751,0.03166611549868509,0.020370685125350733,0.018188157452121188,0.038244710307054175,0.014468538502299417,0.007634636515593529,0.017636458205585112,0.005944257342521938,0.004253792823389037,0.00452169810975815,0.002556425107224608,2.2355752076844286,5.212931746043039
5,0.0,Hansen skewed-t,0.0,0.0,5.999999999999998,True,outside,0.02465653539014981,0.02508907981462341,0.019518442306298886,0.01491169163961242,0.03238048070820598,0.01370006014991312,0.005862397055300819,0.015430818830050298,0.005470216771026228,0.003145821761180242,0.004150082880881901,0.0023268747928522565,8.23762106927388,8.726587221392274
5,0.1,Hansen skewed-t,0.43749427878046876,0.43749427878046876,6.355187362558826,True,outside,0.019957151760621395,0.01699268517791355,0.020322699007932623,0.011480699682350383,0.027884019795090274,0.014251037412339204,0.004167000603503098,0.015933671918621717,0.005751461354380327,0.0021391989611361257,0.005204565648486407,0.002557051587926999,18.517684074755923,15.407048938132965
5,0.3,Hansen skewed-t,1.2334822953254498,1.2334822953254498,8.883107914430282,True,outside,0.010393489873783118,0.0015110347510228998,0.027335063032041643,0.0052003155728454625,0.02322462333490769,0.019097775512587456,0.0015333289321258273,0.023739941740902083,0.008054189347397968,0.000706801451641751,0.010711977528120297,0.003937248835062564,519.6948896829638,42.554151745556474
5,0.5,Hansen skewed-t,1.8404291805017727,1.8404291805017727,12.650189652738073,True,outside,0.0032176802900819148,0.0032176802900819148,0.03641551708167835,0.0013123334704415932,0.023085908579422762,0.024930509444527772,0.0002957184761696596,0.03597950082451121,0.010730419874767196,0.00012030275681586397,0.018108687494823323,0.005505269960636881,1129.8939224095932,91.18437004881022
6,-0.5,Hansen skewed-t,-1.4730905016965206,1.4730905016965206,6.099722991725823,True,outside,0.04041565349622781,0.020255389777953138,0.017923820306329732,0.027201847604020554,0.031230681420252964,0.01271925344786486,0.012591071261270582,0.020142570495871127,0.005146876453468339,0.007332562457997499,0.006409247455704175,0.002024924464630537,5.770316830575991,1.9369823746774815
6,-0.3,Hansen skewed-t,-0.9826011881403662,0.9826011881403662,4.331126699497266,True,outside,0.03605264031841028,0.019677956956297434,0.015140240117371605,0.023373610054262358,0.024581250991484237,0.010350308805766834,0.010095950583356822,0.012526182596139199,0.0036649015923077184,0.005623142087355219,0.0030592605573725026,0.0011463991965370178,3.2634604956734194,1.3807230586888706
6,-0.1,Hansen skewed-t,-0.347335161959285,0.347335161959285,3.1629404774366314,False,inside,0.02922626782309911,0.015502805095821144,0.012374431101435678,0.017809911677712682,0.01756570741785255,0.00807686149463661,0.0068874872530820955,0.007161780823417342,0.002424640887464041,0.003582147425413791,0.0011601020383313516,0.0005543738027879771,1.0094146298249416,0.5828876209343802
6,0.0,Hansen skewed-t,0.0,0.0,3.0000000000000018,False,inside,0.024912630752968658,0.011335242823507563,0.011667057359415985,0.01452105542843788,0.01407656852505347,0.007552800881740065,0.005200859830412289,0.006120697128078326,0.002234633937414637,0.002584016992916141,0.0011802498676326957,0.000552850241276799,5.606858226143107,3.1392332940729557
6,0.1,Hansen skewed-t,0.347335161959285,0.347335161959285,3.1629404774366314,False,inside,0.02016788650998595,0.005808225310737793,0.01209173925792666,0.011108415009838795,0.010716471344016184,0.007903183962378652,0.0036192753214371854,0.0063250946592236165,0.0024855047106752902,0.0017028247790065133,0.0019027494901531876,0.0007827594813156705,13.757301133133508,7.865089633532151
6,0.3,Hansen skewed-t,0.9826011881403662,0.9826011881403662,4.331126699497266,True,outside,0.010511330437754034,0.007832321007751629,0.017223322084931453,0.004922091330818798,0.004698136339289704,0.011301432375030297,0.001244583303443728,0.009764911168776879,0.003931914977379756,0.0005109944481108043,0.004955786747786288,0.001600599542481619,45.6835019329731,27.548467266968444
6,0.5,Hansen skewed-t,1.4730905016965206,1.4730905016965206,6.099722991725823,True,outside,0.00320104591762008,0.00320104591762008,0.02448474451613259,0.001164173350240652,0.00020194356155486533,0.015442436555954188,0.000208025656262571,0.015116245965986642,0.0054187651710346394,7.235871955743283e-05,0.008848673985143624,0.0023449086245778484,470.6667239740291,64.04088683370888
8,-0.5,Hansen skewed-t,-1.1713490675758278,1.1713490675758278,3.0633755236360365,True,outside,0.040902656282753455,0.008731800586866678,0.010060456552500936,0.026671540948093337,0.013652309061032184,0.006519918909197033,0.011322084215818396,0.00865197009205604,0.0018278928471462206,0.006093303343248874,0.0021395998855192654,0.0002028392253374785,3.6129804961930865,3.1321995587933436
8,-0.3,Hansen skewed-t,-0.777008889587449,0.777008889587449,2.1636419216802656,True,outside,0.036245460963688414,0.009065996811870466,0.008312436334385047,0.02264063186061481,0.010833928578987774,0.005161501306328715,0.008836308343006995,0.0049656610924933495,0.0011517883072709977,0.004491004713810464,0.0006502067699601169,8.310433054414205e-05,2.028855484610486,2.4825437070262435
8,-0.1,Hansen skewed-t,-0.27361610240622575,0.27361610240622575,1.5806277898624392,False,inside,0.029224474495522,0.00701317269613299,0.006608191401872007,0.017000167349520583,0.007461498537797425,0.003906422285930997,0.005795266386358868,0.0025082406050809273,0.000660352400988877,0.0026948807078968832,1.862726046274188e-05,0.00017961686519352886,0.5339139596056097,0.9686220747097944
8,0.0,Hansen skewed-t,0.0,0.0,1.5,False,inside,0.024867781555203992,0.004631221207123722,0.006153011626865153,0.013738688838104397,0.005511660918223398,0.00364813603784743,0.004258131680953616,0.002077595814106736,0.0006599271807888859,0.0018641079496565717,0.00013434002013560796,7.7339178800512e-05,3.314114912750653,0.7618462200441883
8,0.1,Hansen skewed-t,0.27361610240622575,0.27361610240622575,1.5806277898624392,False,inside,0.020108585218561938,0.0013562641506094895,0.006426747867545851,0.010394618762605144,0.003392347055130482,0.003944601188746974,0.002859034022618289,0.0022108060650089774,0.0009012236900528855,0.0011631888219734384,0.0006176394842515212,0.00012673189305852464,7.827070625435763,3.920989527144901
8,0.3,Hansen skewed-t,0.777008889587449,0.777008889587449,2.1636419216802656,True,outside,0.010439122748121477,0.00707912591072799,0.010285706080934685,0.00442918139470843,0.0012683955275944372,0.006432940373339871,0.0008731196086677225,0.0037459548578196895,0.0018339954469331595,0.00029354518834289844,0.0023048580010288505,0.000608110074429709,29.408192611990454,17.736870828964793
8,0.5,Hansen skewed-t,1.1713490675758278,1.1713490675758278,3.0633755236360365,True,outside,0.0030803546151598714,0.0030803546151598714,0.01620001584233562,0.0009368178286128796,0.0009368178286128796,0.009365022085397632,0.00011265743235092533,0.006018086195627519,0.0025937079908905938,2.9515106046604144e-05,0.004370077893478744,0.0009175397244389284,218.683691846672,44.812517695791534
10,-0.5,Hansen skewed-t,-1.0388779349927593,1.0388779349927593,2.1141544625772113,True,outside,0.040935435085985336,0.004804140303369661,0.0067337442614228485,0.026121534244803638,0.00816101540784659,0.004114379843951219,0.010421374313588668,0.0052903861645030425,0.0008312223431343139,0.00528491498804494,0.0010851325055516014,0.00017931374939631015,2.209830739395607,2.789002071401242
10,-0.3,Hansen skewed-t,-0.6869978717759551,0.6869978717759551,1.469784957916593,True,outside,0.03613235569584015,0.0054060655187515225,0.005484481840390409,0.022002723231071705,0.006498448876655603,0.0032111774976011573,0.007980623989375882,0.0028371532362671224,0.000458976892514229,0.003782679135600531,0.00015649725200068835,0.0002805463364066968,1.186217328020051,2.183234112477781
10,-0.1,Hansen skewed-t,-0.24141655768821813,0.24141655768821813,1.0568351097906037,False,inside,0.029030191611690324,0.004205384634896298,0.0042864960880477955,0.016356032686990346,0.004352717781249665,0.002394070151323837,0.00508372021748594,0.001270113880154391,0.00021657183453771631,0.0021670998063749746,0.00019009273881236176,0.0002566171405726813,0.4068645852960815,0.9984939700295165
