lam,a,b,distribution,gamma1,abs_gamma1,gamma2,neg_density,envelope,p_true_-2.0,err_edge_-2.0,err_sad_-2.0,p_true_-2.33,err_edge_-2.33,err_sad_-2.33,p_true_-3.0,err_edge_-3.0,err_sad_-3.0,p_true_-3.5,err_edge_-3.5,err_sad_-3.5,es_relerr_edge,es_relerr_sad
-1.0,1.5,-0.5,Generalised Hyperbolic,-0.7701604377787302,0.7701604377787302,3.0943204675346516,True,outside,0.035019538961283715,0.01443741261619956,0.011526216030466753,0.023059266841609496,0.016170187858642365,0.006628692815648436,0.010176543932148433,0.006666687129383548,0.0010726745296398485,0.005659857162090133,0.0005466233296806547,0.000458317262813571,5.440616901952204,5.0172399463973685
-1.0,1.5,-0.2,Generalised Hyperbolic,-0.2959728244317725,0.2959728244317725,2.203716169607052,False,inside,0.030106511808775972,0.009366212402579066,0.008113589914503908,0.018648248731289046,0.010025410680167317,0.004327122515215023,0.007251275725741666,0.003269523950387274,0.0003704393475091458,0.0036683286752375957,0.00019899324885321729,0.000508201053336542,1.9009829188864233,3.136707734364037
-1.0,1.5,0.0,Generalised Hyperbolic,0.0,0.0,2.049611520362224,False,inside,0.026381633519207196,0.005590207342382112,0.006903441157967375,0.015572032192671673,0.007103230618819886,0.0037166013810325596,0.005483582111993601,0.002678991590841867,0.0004253117498835349,0.0025768378827181627,6.861969056275131e-05,0.00027719603624697066,1.752704531011222,0.9818747582815663
-1.0,1.5,0.2,Generalised Hyperbolic,0.2959728244317725,0.2959728244317725,2.203716169607052,False,inside,0.022295875691737643,0.0011969896669078856,0.006894187592849325,0.012423576942284074,0.004703170201320142,0.004050785196398747,0.0038891768810021187,0.0031337382833008026,0.0008954523475896018,0.0016752827465367343,0.0008254638220273,0.00011480816588160933,7.873627959854495,2.7325198711067435
-1.0,1.5,0.5,Generalised Hyperbolic,0.7701604377787302,0.7701604377787302,3.0943204675346516,True,outside,0.01551944240635515,0.00764419723476556,0.010173326468146957,0.007704941526119762,0.0014779201321022829,0.006753680080108787,0.0019107115972062624,0.005830561296040001,0.0023097041505545186,0.0006938723972831877,0.0029922117702687306,0.0009042562059420307,38.44028524478186,13.869786958303337
-1.0,2.0,-0.5,Generalised Hyperbolic,-0.49806065944774863,0.49806065944774863,1.9459411920787826,False,inside,0.032853445623434806,0.008749035540873314,0.007442319828596465,0.020539367774526994,0.009122998186615352,0.0038872276717705177,0.00804656796825983,0.002989369116913868,0.00018169786689673298,0.004062491744744097,0.00027620693076671607,0.0006166182507359023,2.9094721709451736,3.7583469022427605
-1.0,2.0,-0.2,Generalised Hyperbolic,-0.19524353659713198,0.19524353659713198,1.5889709479733947,False,inside,0.028895002527458222,0.005760461715771974,0.005729347887075745,0.017146114515305004,0.0061472162358482685,0.0028788345715358744,0.006015676143448189,0.001811735902401977,5.2452992813849936e-05,0.0027928001102950264,0.00030131217090851106,0.0004630718028079059,0.5270216665160908,2.259986112102999
-1.0,2.0,0.0,Generalised Hyperbolic,0.0,0.0,1.5242241029971524,False,inside,0.026033728082718095,0.0035742649074205594,0.005094123163966551,0.014839691794545994,0.004561610850378279,0.002636930210754885,0.004783950707197176,0.0016322949521620882,0.00017990891682812416,0.0020831151419958525,5.615025308100107e-05,0.00027324017375116787,1.7760117762502063,0.7581513743494234
-1.0,2.0,0.2,Generalised Hyperbolic,0.19524353659713198,0.19524353659713198,1.5889709479733947,False,inside,0.022987173777711176,0.0011269032191868547,0.005015811942216213,0.012510011888773083,0.0031662006614760364,0.002830279535782562,0.0036595975822366596,0.0018603751099890821,0.00048123441257207165,0.001481014137365272,0.0003715275931168037,2.8305965567328303e-05,5.0708314493412825,1.4857944661781057
-1.0,2.0,0.5,Generalised Hyperbolic,0.49806065944774863,0.49806065944774863,1.9459411920787826,False,inside,0.01806640344716574,0.003354698668637362,0.006388132847874206,0.009019951349855837,0.0012113646500172583,0.004135273158873583,0.002205140922763439,0.0029445845820841223,0.0012387748188351826,0.0007802050359156421,0.001376146333375002,0.0004064882765494124,12.461101583922238,7.2100507880642555
-1.0,3.0,-0.5,Generalised Hyperbolic,-0.2733604290582693,0.2733604290582693,1.1307630130105162,False,inside,0.03002376875725705,0.004184811189948106,0.004135867084711479,0.017482548540401373,0.004171964347660904,0.0019313996435426327,0.005775599293939186,0.0010309425719486603,0.0001588544265683318,0.0025268080718620373,0.0003808119653279894,0.00046164029119323763,0.850143046584068,2.2239679638845007
-1.0,3.0,-0.2,Generalised Hyperbolic,-0.10847719813634205,0.10847719813634205,1.027761900666012,False,inside,0.027325111268993927,0.002818737919713186,0.0034843594964756586,0.015281856310565809,0.003042985735038771,0.0016470497742152278,0.004621091068494628,0.0007990143965875048,8.39596072481413e-05,0.0018865336200689514,0.0002452642936809251,0.00032021230734419746,0.3769816242946844,1.2707296426378232
