gamma_2,gamma_1_star
-1.5,1.1175870895385742e-07
-1.47625,1.1175870895385742e-07
-1.4525,1.1175870895385742e-07
-1.42875,1.1175870895385742e-07
-1.405,1.1175870895385742e-07
-1.38125,1.1175870895385742e-07
-1.3575,1.1175870895385742e-07
-1.33375,1.1175870895385742e-07
-1.31,1.1175870895385742e-07
-1.28625,1.1175870895385742e-07
-1.2625,1.1175870895385742e-07
-1.23875,1.1175870895385742e-07
-1.2149999999999999,1.1175870895385742e-07
-1.19125,1.1175870895385742e-07
-1.1675,1.1175870895385742e-07
-1.14375,1.1175870895385742e-07
-1.12,1.1175870895385742e-07
-1.09625,1.1175870895385742e-07
-1.0725,1.1175870895385742e-07
-1.04875,1.1175870895385742e-07
-1.025,1.1175870895385742e-07
-1.00125,1.1175870895385742e-07
-0.9775,1.1175870895385742e-07
-0.95375,1.1175870895385742e-07
-0.9299999999999999,1.1175870895385742e-07
-0.90625,1.1175870895385742e-07
-0.8825,1.1175870895385742e-07
-0.85875,1.1175870895385742e-07
-0.835,1.1175870895385742e-07
-0.81125,1.1175870895385742e-07
-0.7875,1.1175870895385742e-07
-0.76375,1.1175870895385742e-07
-0.74,1.1175870895385742e-07
-0.7162499999999999,1.1175870895385742e-07
-0.6925,1.1175870895385742e-07
-0.66875,1.1175870895385742e-07
-0.645,1.1175870895385742e-07
-0.62125,1.1175870895385742e-07
-0.5975,1.1175870895385742e-07
-0.57375,1.1175870895385742e-07
-0.55,1.1175870895385742e-07
-0.52625,1.1175870895385742e-07
-0.5025,1.1175870895385742e-07
-0.47875,1.1175870895385742e-07
-0.45500000000000007,1.1175870895385742e-07
-0.4312499999999999,1.1175870895385742e-07
-0.4075,1.1175870895385742e-07
-0.38375000000000004,1.1175870895385742e-07
-0.3599999999999999,1.1175870895385742e-07
-0.33624999999999994,1.1175870895385742e-07
-0.3125,1.1175870895385742e-07
-0.28875000000000006,1.1175870895385742e-07
-0.2649999999999999,1.1175870895385742e-07
-0.24124999999999996,1.1175870895385742e-07
-0.21750000000000003,1.1175870895385742e-07
-0.1937500000000001,1.1175870895385742e-07
-0.16999999999999993,1.1175870895385742e-07
-0.14625,1.1175870895385742e-07
-0.12250000000000005,1.1175870895385742e-07
-0.0987499999999999,1.1175870895385742e-07
-0.07499999999999996,1.1175870895385742e-07
-0.05125000000000002,1.1175870895385742e-07
-0.02750000000000008,1.1175870895385742e-07
-0.00374999999999992,0.1242370530962944
0.020000000000000018,0.18206756561994553
0.043749999999999956,0.21552834659814835
0.06750000000000012,0.24116802960634232
0.09125000000000005,0.2625313773751259
0.11499999999999999,0.2811000123620033
0.13874999999999993,0.29765982180833817
0.1625000000000001,0.312686450779438
0.18625000000000003,0.32649341970682144
0.20999999999999996,0.33930014818906784
0.23375000000000012,0.351267047226429
0.25750000000000006,0.3625158593058586
0.28125,0.3731411322951317
0.30499999999999994,0.383218489587307
0.3287500000000001,0.3928089514374733
