pi_up,pi_down,delta_up,delta_down,distribution,gamma1,abs_gamma1,gamma2,neg_density,envelope,p_true_-2.0,err_edge_-2.0,err_sad_-2.0,p_true_-2.33,err_edge_-2.33,err_sad_-2.33,p_true_-3.0,err_edge_-3.0,err_sad_-3.0,p_true_-3.5,err_edge_-3.5,err_sad_-3.5,es_relerr_edge,es_relerr_sad
0.005,0.01,5.0,3.0,Two-sided jump,0.26460105555067637,0.26460105555067637,2.5607959561811535,False,inside,0.030781399282504344,0.00026944411518359593,0.01145665164689218,0.017203307446130328,0.006880711394959552,0.008820428758626247,0.006304717070389805,0.006684721536359642,0.0028704587123321787,0.0032990997855769917,0.0027627878818643286,0.0007172846769638746,10.124148688482137,5.057660051356951
0.005,0.01,5.0,5.0,Two-sided jump,-0.37159572787981004,0.37159572787981004,4.695180701636045,True,outside,0.03234772349674294,0.017878727815453334,0.035592635770928784,0.019667783737973798,0.032544250933740096,0.02770562468715729,0.011053420738074424,0.026412032046608504,0.010894371626772542,0.009514431253132758,0.010954184689230474,0.0024671032589114825,13.233568839697472,12.313034170816238
0.005,0.01,5.0,7.0,Two-sided jump,-1.328263106189326,1.328263106189326,9.795565294347215,True,outside,0.03238501462337711,0.004166665619843954,0.06648710895821261,0.019723544593921435,0.04534359691854331,0.05600571908913328,0.01128733468989756,0.07077482738506624,0.03186581814907536,0.010180176975030986,0.05224920954187885,0.01767080474302034,400.8452581063782,19.806882207409505
0.005,0.01,7.0,3.0,Two-sided jump,0.9276061360829589,0.9276061360829589,6.947535717747531,True,outside,0.030781397698985247,0.027483368840545332,0.021208425688375013,0.017203307073362536,0.0012099308998136035,0.018057927435065065,0.006304717056057288,0.021755641905801544,0.009222571751518464,0.0032990997846275155,0.01569669035891202,0.004895093120638211,30.784431515655935,21.393005451944656
0.005,0.01,7.0,5.0,Two-sided jump,0.2617141642031108,0.2617141642031108,7.827857001222385,True,outside,0.03234658757370129,0.008867616970083727,0.0390935033195845,0.019667288956968624,0.02517513089339749,0.031725424171994004,0.01105335325750542,0.03911737143533027,0.014585675346431909,0.009514419622628285,0.023078088533963585,0.005400379600095104,344.22553309828874,6.374230503259261
0.005,0.01,7.0,7.0,Two-sided jump,-0.7207443404343084,0.7207443404343084,11.357071222623809,True,outside,0.032361152129968186,0.019589900254161546,0.06715498701951153,0.01970550474864586,0.03869818508879839,0.0570730323000777,0.011279469422102565,0.08091269230998341,0.033246368526825304,0.010176848246421493,0.062332051430363467,0.01900318505884421,534.9389106447358,17.895176710461982
0.005,0.02,3.0,3.0,Two-sided jump,-0.27792179245017523,0.27792179245017523,1.2015573182736072,False,inside,0.03892869052722106,0.007667452348463895,0.011174634464876043,0.024554044513521577,0.00713835483683832,0.006286768925475708,0.011266420565279947,0.0017004093543710273,0.0006141602095306731,0.0063667568987193675,0.000940434257915691,0.0018424935593630868,4.502323005354636,5.831713159494778
0.005,0.02,3.0,5.0,Two-sided jump,-1.1670616534234344,1.1670616534234344,4.754906856282323,True,outside,0.042106792096432796,0.01778103382596364,0.04917046156257007,0.029518087225749327,0.028967574020034505,0.03760271736541582,0.020779423475101165,0.029415367648086693,0.014052961062618989,0.018804054030040936,0.01649612521528694,0.0019817009835585916,15.334292280926388,13.249841200049579
0.005,0.02,3.0,7.0,Two-sided jump,-2.226132074490293,2.226132074490293,10.425064801278126,True,outside,0.04218137434970113,0.01391305150445693,0.08887484848604918,0.029651713280808355,0.0037804178569013185,0.0755842372149017,0.02129978979237116,0.043457111118122956,0.04506034462935229,0.02019135354261892,0.057062940690244854,0.026202608604026834,21.21560898963,14.704648867950095
0.005,0.02,5.0,3.0,Two-sided jump,0.07254489655729127,0.07254489655729127,2.610766942466885,False,inside,0.03892641727656399,0.0007716905295735363,0.013420466192324641,0.024553054710891656,0.007629458504775734,0.009053292556128661,0.011266285599307665,0.006883087343469102,0.001673201160718979,0.006366733637513636,0.002571023731868404,0.00029614585884893234,2.5603107884592906,0.543368323013872
0.005,0.02,5.0,5.0,Two-sided jump,-0.846504113505675,0.846504113505675,5.30501301805231,True,outside,0.042059065705041185,0.010957369101391376,0.04931148482514233,0.029482007294578595,0.028795989646511207,0.037995085236682234,0.020763692934676902,0.03358988574924825,0.01464158895554014,0.018797396572625167,0.019468111390273195,0.0025449887685437336,14.639820061191752,12.248162603483989
0.005,0.02,5.0,7.0,Two-sided jump,-1.939512329289827,1.939512329289827,10.248277032671854,True,outside,0.042133647958309525,0.020430662846115135,0.08876280055084505,0.02959352900647387,0.005093854030026157,0.07558149781606005,0.021231520838323175,0.04910204152572881,0.045197978976538405,0.020128888016421622,0.05986282977275943,0.026382522070774562,20.860282820334856,14.454224179492634
0.005,0.02,7.0,3.0,Two-sided jump,0.6980041079553083,0.6980041079553083,6.440247339857923,True,outside,0.038926414109532195,0.02769003840448287,0.020762755227052322,0.02455305396535664,0.0007350037310426376,0.01661190607498069,0.011266285570642633,0.02000062628488962,0.007495206785320787,0.006366733635614684,0.01516867344117445,0.003796285492087421,17.95104696856777,11.823451450564473
0.005,0.02,7.0,5.0,Two-sided jump,-0.2902605756385253,0.2902605756385253,7.451097199168377,True,outside,0.04205679385896428,0.016021870744928765,0.05045026492930175,0.029481017732568823,0.018773439682240302,0.039812610303944757,0.020763557973538894,0.04298016059536805,0.016884335467840985,0.01879737331161622,0.030124981312411415,0.004604916894845195,356.2282273572631,8.811263584610181
0.005,0.02,7.0,7.0,Two-sided jump,-1.4559642346101933,1.4559642346101933,10.932394605141083,True,outside,0.04208592297149807,0.04208592297149807,0.08865249163178673,0.029557449315923287,0.003969415215510773,0.07574865218093214,0.021215790302733187,0.05806953996079432,0.045710440756861925,0.020122230559202637,0.06920140587567263,0.027000242090496156,496.5262674417885,13.460033603800676
0.01,0.005,3.0,3.0,Two-sided jump,0.10681899964614046,0.10681899964614046,0.8907504223136333,False,inside,0.02657581432737375,0.002146420653703629,0.005190760862795123,0.013460947191219428,0.003158838786670526,0.0038992214176895943,0.0038047845607753522,0.0014240629718517317,0.0007831121983294495,0.0017564237228511227,0.0001061383203118185,0.00019172489569366236,3.2885959174859347,1.6482402754951972
0.01,0.005,3.0,5.0,Two-sided jump,-0.26460105555067637,0.26460105555067637,2.5607959561811535,False,inside,0.027378338332480486,0.018418046248852276,0.023137536193583528,0.01470478688359518,0.022212380467194946,0.01781013650883114,0.006175036675426857,0.012141970224871334,0.006392796717377174,0.004851795988486132,0.003134503701827187,0.001054245062904446,2.594240847260119,3.7484032892436128
