regime,n,edge_mean_relerr_pct,saddle_mean_relerr_pct,edge_median_relerr_pct,saddle_median_relerr_pct
Mild,162,9.188266263406113,9.190110828269992,8.734438665986763,9.107814432503012
Moderate,162,97.35945476522897,13.544911316688852,19.306227025516606,13.786610105182802
Severe,162,34.22435133008924,13.903434645030346,22.84918587495943,13.873134474156847
Extreme,162,26.963010300310284,14.654988022370647,26.478376518697488,14.861122609589156
