ticker,n,Pr(g2>3),Pr(g2>6),Pr(g2>10),Pr(g2>15)
SP500,8919,0.2394887319206189,0.1145868370893598,0.043166274245991704,0.024217961654894045
XLE,6650,0.1593984962406015,0.08045112781954887,0.030977443609022555,0.005714285714285714
XLF,6650,0.22781954887218045,0.10225563909774436,0.04541353383458647,0.002406015037593985
XLK,6650,0.161203007518797,0.08105263157894736,0.03699248120300752,0.0016541353383458647
XLV,6650,0.2995488721804511,0.13037593984962406,0.011578947368421053,0.001954887218045113
